minX,maxX,minY,maxY
43
1,4,0,3
1,6,59,71
0,2,206,208
0,2,368,370
115,1574,219,366
1,3,738,740
3,5,1649,1651
4,6,1684,1686
1,3,1813,1816
185,3327,504,1071
172,3312,1121,1467
167,334,1500,1573
379,468,1521,1559
506,711,1502,1561
752,869,1504,1563
908,976,1514,1565
1016,1373,1514,1582
1413,1518,1516,1575
165,376,1635,1701
407,613,1629,1688
645,757,1638,1689
789,946,1630,1692
978,1138,1633,1693
1168,1457,1640,1710
1557,1697,1517,1593
1737,1802,1520,1579
1834,1944,1541,1580
1982,2275,1522,1581
2342,2629,1523,1583
2670,2825,1525,1584
2864,3181,1527,1600
3223,3246,1540,1587
3298,3307,1534,1541
158,532,1884,1957
568,1036,1882,1966
155,428,2013,2073
459,653,2015,2074
687,1157,2012,2098
151,334,2142,2217
370,641,2144,2202
675,1148,2142,2225
146,637,2270,2347
672,1146,2270,2353
